# THRESHOLDS_UNCALIBRATED -- RESEARCH USE ONLY. Do NOT use for clinical decisions. Composite grades use preliminary thresholds (0.10/0.20/0.35) that have not been calibrated against pathologist consensus.
slide_id,in_baseline,in_cohort,bl_total_cells,bl_pct_positive,bl_pct_2plus,bl_h_score,bl_mean_dab,bl_negative,bl_weak_1plus,bl_moderate_2plus,bl_strong_3plus,bl_eligible,co_total_cells,co_pct_2plus,co_h_score,co_mean_membrane_dab,co_mean_raw_dab,co_mean_completeness,co_mean_thickness_um,co_negative,co_weak_1plus,co_moderate_2plus,co_strong_3plus,co_n_measured,co_pct_measured,co_eligible,co_has_membrane,delta_total_cells,delta_pct_2plus,delta_h_score,eligibility_flip
CLDN0328,True,True,275315,57.1189,10.975791366253201,74.0,0.1549,118058,127039,14012,16206,False,114799,0.0,0.0,0.0,0,0,0,114799,0,0,0,0,0.0,False,False,-160516,-10.975791366253201,-74.0,BOTH_NOT_ELIGIBLE
CLDN0329,True,True,1333699,57.1165,10.954270791235505,75.9,0.1824,571937,615665,42311,103786,False,221603,0.0,0.0,0.0,0,0,0,221603,0,0,0,0,0.0,False,False,-1112096,-10.954270791235505,-75.9,BOTH_NOT_ELIGIBLE
CLDN0330,True,False,375859,60.9667,9.557573451746533,77.4,0.187,146710,193226,10169,25754,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0331,True,True,880153,73.1823,15.336765312394549,95.5,0.1708,236037,509129,73838,61149,False,466715,0.0,0.0,0.0,0,0,0,466715,0,0,0,0,0.0,False,False,-413438,-15.336765312394549,-95.5,BOTH_NOT_ELIGIBLE
CLDN0332,False,True,,,,,,,,,,,46601,0.0,0.0,0.0,0,0,0,46601,0,0,0,0,0.0,False,False,,,,MISSING_DATA
CLDN0333,True,True,496771,84.4621,34.12236221518567,144.2,0.397,77188,250073,42280,127230,False,146226,0.0,0.0,0.0,0,0,0,146226,0,0,0,0,0.0,False,False,-350545,-34.12236221518567,-144.2,BOTH_NOT_ELIGIBLE
CLDN0334,True,True,496422,87.9691,60.29930180370733,197.8,0.6066,59724,137359,53422,245917,False,242994,0.0,0.0,0.0,0,0,0,242994,0,0,0,0,0.0,False,False,-253428,-60.29930180370733,-197.8,BOTH_NOT_ELIGIBLE
CLDN0335,True,True,516057,69.4216,25.08346946170675,115.3,0.3279,157802,228810,22052,107393,False,195976,0.0,0.0,0.0,0,0,0,195976,0,0,0,0,0.0,False,False,-320081,-25.08346946170675,-115.3,BOTH_NOT_ELIGIBLE
CLDN0336,True,True,707116,78.3702,9.640426747520916,94.3,0.1817,152948,485999,23664,44505,False,150980,0.0,0.0,0.0,0,0,0,150980,0,0,0,0,0.0,False,False,-556136,-9.640426747520916,-94.3,BOTH_NOT_ELIGIBLE
CLDN0337,True,True,461587,69.7816,20.384022946920084,106.4,0.2585,139484,228013,19087,75003,False,87622,0.0,0.0,0.0,0,0,0,87622,0,0,0,0,0.0,False,False,-373965,-20.384022946920084,-106.4,BOTH_NOT_ELIGIBLE
CLDN0338,True,True,1224745,44.8307,1.5655503798749941,47.3,0.1112,675683,529888,8465,10709,False,1265508,0.0,0.0,0.0,0,0,0,1265508,0,0,0,0,0.0,False,False,40763,-1.5655503798749941,-47.3,BOTH_NOT_ELIGIBLE
CLDN0339,True,True,467215,74.1335,35.89460954806674,134.6,0.3672,120852,178658,52792,114913,False,77178,0.0,0.0,0.0,0,0,0,77178,0,0,0,0,0.0,False,False,-390037,-35.89460954806674,-134.6,BOTH_NOT_ELIGIBLE
CLDN0340,True,True,1062493,41.4682,1.2954438288064016,43.1,0.1028,621896,426833,9674,4090,False,1182715,0.0,0.0,0.0,0,0,0,1182715,0,0,0,0,0.0,False,False,120222,-1.2954438288064016,-43.1,BOTH_NOT_ELIGIBLE
CLDN0341,True,True,785689,35.7433,1.017960032531956,37.2,0.0981,504858,272833,4475,3523,False,923636,0.0,0.0,0.0,0,0,0,923636,0,0,0,0,0.0,False,False,137947,-1.017960032531956,-37.2,BOTH_NOT_ELIGIBLE
CLDN0342,True,True,967191,43.5573,8.33185999456157,59.0,0.1689,545909,340697,11527,69058,False,686859,0.0,0.0,0.0,0,0,0,686859,0,0,0,0,0.0,False,False,-280332,-8.33185999456157,-59.0,BOTH_NOT_ELIGIBLE
CLDN0343,True,True,608764,50.5061,3.046665045896275,54.8,0.1127,301301,288916,11179,7368,False,596260,0.0,0.0,0.0,0,0,0,596260,0,0,0,0,0.0,False,False,-12504,-3.046665045896275,-54.8,BOTH_NOT_ELIGIBLE
CLDN0344,True,True,714433,66.7009,9.413758882918343,80.0,0.1511,237900,409278,39656,27599,False,559187,0.0,0.0,0.0,0,0,0,559187,0,0,0,0,0.0,False,False,-155246,-9.413758882918343,-80.0,BOTH_NOT_ELIGIBLE
CLDN0345,True,True,335678,53.176,12.110713243048398,74.6,0.2013,157178,137847,9486,31167,False,271490,0.0,0.0,0.0,0,0,0,271490,0,0,0,0,0.0,False,False,-64188,-12.110713243048398,-74.6,BOTH_NOT_ELIGIBLE
CLDN0346,True,True,1270139,50.6591,13.327281502260776,74.7,0.1994,626698,474166,33720,135555,False,919590,0.0,0.0,0.0,0,0,0,919590,0,0,0,0,0.0,False,False,-350549,-13.327281502260776,-74.7,BOTH_NOT_ELIGIBLE
CLDN0347,True,True,1005671,53.7713,11.393586968302754,74.5,0.1997,464909,426180,21009,93573,False,259604,0.0,0.0,0.0,0,0,0,259604,0,0,0,0,0.0,False,False,-746067,-11.393586968302754,-74.5,BOTH_NOT_ELIGIBLE
CLDN0348,True,True,638579,79.1262,21.5470599565598,109.3,0.1994,133296,367688,82742,54853,False,277143,0.0,0.0,0.0,0,0,0,277143,0,0,0,0,0.0,False,False,-361436,-21.5470599565598,-109.3,BOTH_NOT_ELIGIBLE
CLDN0349,True,True,712199,82.0115,44.13962951366121,150.5,0.3113,128114,269723,140747,173615,False,159072,0.0,0.0,0.0,0,0,0,159072,0,0,0,0,0.0,False,False,-553127,-44.13962951366121,-150.5,BOTH_NOT_ELIGIBLE
CLDN0350,True,True,209374,65.8577,4.597514495591621,71.1,0.1225,71485,128263,8277,1349,False,5682,0.0,0.0,0.0,0,0,0,5682,0,0,0,0,0.0,False,False,-203692,-4.597514495591621,-71.1,BOTH_NOT_ELIGIBLE
CLDN0351,True,True,872712,64.8404,17.965033138079917,94.0,0.2053,306842,409087,58902,97881,False,113451,0.0,0.0,0.0,0,0,0,113451,0,0,0,0,0.0,False,False,-759261,-17.965033138079917,-94.0,BOTH_NOT_ELIGIBLE
CLDN0352,True,True,534268,57.2889,13.50352257668436,81.0,0.2106,228192,233931,17638,54507,False,334778,0.0,0.0,0.0,0,0,0,334778,0,0,0,0,0.0,False,False,-199490,-13.50352257668436,-81.0,BOTH_NOT_ELIGIBLE
CLDN0353,True,False,864521,62.7925,14.14991654338067,87.4,0.2176,321667,420525,31997,90332,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0354,True,False,694553,70.5418,21.72159648003824,108.5,0.2627,204603,339082,38264,112604,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0355,True,False,1785711,65.8502,10.474483273049222,80.0,0.1411,609817,988850,121116,65928,False,,,,,,,,,,,,,,,,,,,MISSING_DATA
CLDN0356,True,True,978267,75.6321,15.39252576239411,101.8,0.2189,238383,589304,45242,105338,False,712964,0.0,0.0,0.0,0,0,0,712964,0,0,0,0,0.0,False,False,-265303,-15.39252576239411,-101.8,BOTH_NOT_ELIGIBLE
CLDN0357,True,True,495061,62.2515,8.655499019312773,76.7,0.1678,186878,265333,13955,28895,False,66842,0.0,0.0,0.0,0,0,0,66842,0,0,0,0,0.0,False,False,-428219,-8.655499019312773,-76.7,BOTH_NOT_ELIGIBLE
CLDN0358,True,True,155229,88.2561,33.697311713661755,141.6,0.283,18230,84691,21855,30453,False,84086,0.0,0.0,0.0,0,0,0,84086,0,0,0,0,0.0,False,False,-71143,-33.697311713661755,-141.6,BOTH_NOT_ELIGIBLE
